summary: total num 2692 | acc 0.43165
model: [llama3.1-8B-Instruct]

subject: strict_0_shot_accountant  | num: 49    | acc: 0.38776
subject: strict_5_shot_environmental_impact_assessment_engineer | num: 31    | acc: 0.54839
subject: strict_5_shot_fire_engineer | num: 31    | acc: 0.48387
subject: strict_5_shot_high_school_biology | num: 19    | acc: 0.52632
subject: strict_5_shot_high_school_chemistry | num: 19    | acc: 0.36842
subject: strict_5_shot_high_school_chinese | num: 19    | acc: 0.21053
subject: strict_5_shot_high_school_geography | num: 19    | acc: 0.68421
subject: strict_5_shot_high_school_history | num: 20    | acc: 0.55000
subject: strict_5_shot_high_school_mathematics | num: 18    | acc: 0.05556
subject: strict_5_shot_high_school_physics | num: 19    | acc: 0.42105
subject: strict_5_shot_high_school_politics | num: 19    | acc: 0.73684
subject: strict_5_shot_ideological_and_moral_cultivation | num: 19    | acc: 0.84211
subject: strict_5_shot_law         | num: 24    | acc: 0.41667
subject: strict_5_shot_legal_professional | num: 23    | acc: 0.34783
subject: strict_5_shot_logic       | num: 22    | acc: 0.45455
subject: strict_5_shot_mao_zedong_thought | num: 24    | acc: 0.54167
subject: strict_5_shot_marxism     | num: 19    | acc: 0.68421
subject: strict_5_shot_metrology_engineer | num: 24    | acc: 0.66667
subject: strict_5_shot_middle_school_biology | num: 21    | acc: 0.76190
subject: strict_5_shot_middle_school_chemistry | num: 20    | acc: 0.90000
subject: strict_5_shot_middle_school_geography | num: 12    | acc: 0.58333
subject: strict_5_shot_middle_school_history | num: 22    | acc: 0.59091
subject: strict_5_shot_middle_school_mathematics | num: 19    | acc: 0.42105
subject: strict_5_shot_middle_school_physics | num: 19    | acc: 0.63158
subject: strict_5_shot_middle_school_politics | num: 21    | acc: 0.66667
subject: strict_5_shot_modern_chinese_history | num: 23    | acc: 0.60870
subject: strict_5_shot_operating_system | num: 19    | acc: 0.57895
subject: strict_5_shot_physician   | num: 49    | acc: 0.61224
subject: strict_5_shot_plant_protection | num: 22    | acc: 0.68182
subject: strict_5_shot_probability_and_statistics | num: 18    | acc: 0.33333
subject: strict_5_shot_professional_tour_guide | num: 29    | acc: 0.58621
subject: strict_5_shot_sports_science | num: 19    | acc: 0.57895
subject: strict_5_shot_tax_accountant | num: 49    | acc: 0.38776
subject: strict_5_shot_teacher_qualification | num: 44    | acc: 0.81818
subject: strict_5_shot_urban_and_rural_planner | num: 46    | acc: 0.54348
subject: strict_5_shot_veterinary_medicine | num: 23    | acc: 0.56522
